success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,1382,0.0-0.0,2,,,,,,,,
TRUE,,,,,fullscreen,1,4120,0.0-1.0,2,,,,,,,,
,,,,,instructions,2,7779,0.0-2.0,2,"[{""page_index"":0,""viewing_time"":3657}]",3658,,,,,,
,,,,,html-keyboard-response,3,14430,0.0-3.0,2,,6649,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,31677,0.0-4.0,2,"[{""page_index"":0,""viewing_time"":3537},{""page_index"":1,""viewing_time"":10197},{""page_index"":2,""viewing_time"":2510}]",16244,,,,,,
,,,,,html-keyboard-response,5,34680,0.0-5.0-0.0,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,40695,0.0-5.0-1.0,2,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,7,41197,0.0-5.0-0.1,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,47200,0.0-5.0-1.1,2,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,9,47706,0.0-5.0-0.2,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,53712,0.0-5.0-1.2,2,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,11,54213,0.0-5.0-0.3,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,60219,0.0-5.0-1.3,2,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,13,60720,0.0-5.0-0.4,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,66725,0.0-5.0-1.4,2,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,15,67227,0.0-5.0-0.5,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,73232,0.0-5.0-1.5,2,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,17,73734,0.0-5.0-0.6,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,79755,0.0-5.0-1.6,2,,null,img/encoding_events/Event_7.jpg,null,,,,
,,,,,html-keyboard-response,19,80256,0.0-5.0-0.7,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,86262,0.0-5.0-1.7,2,,null,img/encoding_events/Event_2.jpg,null,,,,
