success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
,,,,,image-keyboard-response,102,424458,0.0-7.0-2.0-0.0,1,,7247,img/testing_events/Bc/Test_Bc_Event_18.jpg,u,response,Bc,e,FALSE
,,,,,image-keyboard-response,103,425806,0.0-7.0-2.0-0.1,1,,1341,img/testing_events/Bc/Test_Bc_Event_14.jpg,e,response,Bc,e,TRUE
,,,,,image-keyboard-response,104,427799,0.0-7.0-2.0-0.2,1,,1990,img/testing_events/Bc/Test_Bc_Event_9.jpg,c,response,Bc,n,FALSE
,,,,,image-keyboard-response,105,433180,0.0-7.0-2.0-0.3,1,,5376,img/testing_events/Bc/Test_Bc_Event_21.jpg,n,response,Bc,n,TRUE
,,,,,image-keyboard-response,106,434315,0.0-7.0-2.0-0.4,1,,1119,img/testing_events/Bc/Test_Bc_Event_2.jpg,e,response,Bc,e,TRUE
,,,,,image-keyboard-response,107,435587,0.0-7.0-2.0-0.5,1,,1264,img/testing_events/Bc/Test_Bc_Event_15.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,108,436834,0.0-7.0-2.0-0.6,1,,1240,img/testing_events/Bc/Test_Bc_Event_17.jpg,n,response,Bc,n,TRUE
,,,,,image-keyboard-response,109,438084,0.0-7.0-2.0-0.7,1,,1241,img/testing_events/Bc/Test_Bc_Event_4.jpg,c,response,Bc,c,TRUE
,,,,,image-keyboard-response,110,441911,0.0-7.0-2.0-0.8,1,,3820,img/testing_events/Bc/Test_Bc_Event_11.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,111,444230,0.0-7.0-2.0-0.9,1,,2315,img/testing_events/Bc/Test_Bc_Event_16.jpg,c,response,Bc,c,TRUE
,,,,,image-keyboard-response,112,447077,0.0-7.0-2.0-0.10,1,,2839,img/testing_events/Bc/Test_Bc_Event_8.jpg,c,response,Bc,c,TRUE
,,,,,image-keyboard-response,113,450396,0.0-7.0-2.0-0.11,1,,3307,img/testing_events/Bc/Test_Bc_Event_19.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,114,455373,0.0-7.0-2.0-0.12,1,,4971,img/testing_events/Bc/Test_Bc_Event_24.jpg,u,response,Bc,c,FALSE
,,,,,image-keyboard-response,115,459356,0.0-7.0-2.0-0.13,1,,3979,img/testing_events/Bc/Test_Bc_Event_3.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,116,462567,0.0-7.0-2.0-0.14,1,,3205,img/testing_events/Bc/Test_Bc_Event_23.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,117,464276,0.0-7.0-2.0-0.15,1,,1702,img/testing_events/Bc/Test_Bc_Event_7.jpg,u,response,Bc,u,TRUE
,,,,,image-keyboard-response,118,465927,0.0-7.0-2.0-0.16,1,,1644,img/testing_events/Bc/Test_Bc_Event_5.jpg,n,response,Bc,n,TRUE
,,,,,image-keyboard-response,119,469048,0.0-7.0-2.0-0.17,1,,3113,img/testing_events/Bc/Test_Bc_Event_20.jpg,c,response,Bc,c,TRUE
