success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,5598,0.0-0.0,1,,,,,,,,
TRUE,,,,,fullscreen,1,16534,0.0-1.0,1,,,,,,,,
,,,,,instructions,2,25512,0.0-2.0,1,"[{""page_index"":0,""viewing_time"":8975}]",8976,,,,,,
,,,,,html-keyboard-response,3,79867,0.0-3.0,1,,54355,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,94953,0.0-4.0,1,"[{""page_index"":0,""viewing_time"":5839},{""page_index"":1,""viewing_time"":6014},{""page_index"":2,""viewing_time"":2232}]",14085,,,,,,
,,,,,html-keyboard-response,5,97955,0.0-5.0-0.0,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,103985,0.0-5.0-1.0,1,,null,img/encoding_events/Event_12.jpg,null,,,,
,,,,,html-keyboard-response,7,104488,0.0-5.0-0.1,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,110492,0.0-5.0-1.1,1,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,9,110995,0.0-5.0-0.2,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,116998,0.0-5.0-1.2,1,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,11,117500,0.0-5.0-0.3,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,123502,0.0-5.0-1.3,1,,null,img/encoding_events/Event_9.jpg,null,,,,
,,,,,html-keyboard-response,13,124004,0.0-5.0-0.4,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,130008,0.0-5.0-1.4,1,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,15,130511,0.0-5.0-0.5,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,136514,0.0-5.0-1.5,1,,null,img/encoding_events/Event_17.jpg,null,,,,
,,,,,html-keyboard-response,17,137015,0.0-5.0-0.6,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,143018,0.0-5.0-1.6,1,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,19,143520,0.0-5.0-0.7,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,149533,0.0-5.0-1.7,1,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,21,150035,0.0-5.0-0.8,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,156038,0.0-5.0-1.8,1,,null,img/encoding_events/Event_7.jpg,null,,,,
,,,,,html-keyboard-response,23,156541,0.0-5.0-0.9,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,162545,0.0-5.0-1.9,1,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,25,163048,0.0-5.0-0.10,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,169051,0.0-5.0-1.10,1,,null,img/encoding_events/Event_14.jpg,null,,,,
,,,,,html-keyboard-response,27,169554,0.0-5.0-0.11,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,175556,0.0-5.0-1.11,1,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,29,176059,0.0-5.0-0.12,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,182064,0.0-5.0-1.12,1,,null,img/encoding_events/Event_18.jpg,null,,,,
,,,,,html-keyboard-response,31,182566,0.0-5.0-0.13,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,188568,0.0-5.0-1.13,1,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,33,189070,0.0-5.0-0.14,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,195083,0.0-5.0-1.14,1,,null,img/encoding_events/Event_21.jpg,null,,,,
,,,,,html-keyboard-response,35,195586,0.0-5.0-0.15,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,201588,0.0-5.0-1.15,1,,null,img/encoding_events/Event_13.jpg,null,,,,
,,,,,html-keyboard-response,37,202089,0.0-5.0-0.16,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,38,208092,0.0-5.0-1.16,1,,null,img/encoding_events/Event_8.jpg,null,,,,
,,,,,html-keyboard-response,39,208595,0.0-5.0-0.17,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,40,214598,0.0-5.0-1.17,1,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,41,215101,0.0-5.0-0.18,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,42,221105,0.0-5.0-1.18,1,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,43,221606,0.0-5.0-0.19,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,44,227610,0.0-5.0-1.19,1,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,45,228112,0.0-5.0-0.20,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,46,234116,0.0-5.0-1.20,1,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,47,234618,0.0-5.0-0.21,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,48,240620,0.0-5.0-1.21,1,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,49,241122,0.0-5.0-0.22,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,50,247125,0.0-5.0-1.22,1,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,51,247627,0.0-5.0-0.23,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,52,253630,0.0-5.0-1.23,1,,null,img/encoding_events/Event_16.jpg,null,,,,
,,,,,instructions,53,289622,0.0-6.0,1,"[{""page_index"":0,""viewing_time"":3375},{""page_index"":1,""viewing_time"":3065},{""page_index"":2,""viewing_time"":6342},{""page_index"":3,""viewing_time"":10520},{""page_index"":4,""viewing_time"":6955},{""page_index"":5,""viewing_time"":3429},{""page_index"":6,""viewing_time"":2305}]",35991,,,,,,
,,,,,image-keyboard-response,54,294132,0.0-7.0-0.0-0.0,1,,2003,img/testing_events/Ca/Test_Ca_Event_18.jpg,c,response,Ca,u,FALSE
,,,,,image-keyboard-response,55,296431,0.0-7.0-0.0-0.1,1,,2286,img/testing_events/Ca/Test_Ca_Event_8.jpg,e,response,Ca,n,FALSE
,,,,,image-keyboard-response,56,300358,0.0-7.0-0.0-0.2,1,,3924,img/testing_events/Ca/Test_Ca_Event_12.jpg,e,response,Ca,n,FALSE
,,,,,image-keyboard-response,57,303378,0.0-7.0-0.0-0.3,1,,3019,img/testing_events/Ca/Test_Ca_Event_1.jpg,u,response,Ca,e,FALSE
,,,,,image-keyboard-response,58,305916,0.0-7.0-0.0-0.4,1,,2535,img/testing_events/Ca/Test_Ca_Event_17.jpg,n,response,Ca,e,FALSE
,,,,,image-keyboard-response,59,309212,0.0-7.0-0.0-0.5,1,,3294,img/testing_events/Ca/Test_Ca_Event_19.jpg,u,response,Ca,c,FALSE
,,,,,image-keyboard-response,60,313788,0.0-7.0-0.0-0.6,1,,4574,img/testing_events/Ca/Test_Ca_Event_11.jpg,u,response,Ca,c,FALSE
,,,,,image-keyboard-response,61,317099,0.0-7.0-0.0-0.7,1,,3309,img/testing_events/Ca/Test_Ca_Event_6.jpg,n,response,Ca,u,FALSE
,,,,,image-keyboard-response,62,321552,0.0-7.0-0.0-0.8,1,,4450,img/testing_events/Ca/Test_Ca_Event_16.jpg,c,response,Ca,n,FALSE
,,,,,image-keyboard-response,63,325903,0.0-7.0-0.0-0.9,1,,4350,img/testing_events/Ca/Test_Ca_Event_23.jpg,e,response,Ca,c,FALSE
,,,,,image-keyboard-response,64,328304,0.0-7.0-0.0-0.10,1,,2399,img/testing_events/Ca/Test_Ca_Event_15.jpg,c,response,Ca,c,TRUE
,,,,,image-keyboard-response,65,332936,0.0-7.0-0.0-0.11,1,,4630,img/testing_events/Ca/Test_Ca_Event_10.jpg,c,response,Ca,u,FALSE
,,,,,image-keyboard-response,66,337307,0.0-7.0-0.0-0.12,1,,4370,img/testing_events/Ca/Test_Ca_Event_20.jpg,c,response,Ca,n,FALSE
,,,,,image-keyboard-response,67,339252,0.0-7.0-0.0-0.13,1,,1941,img/testing_events/Ca/Test_Ca_Event_22.jpg,e,response,Ca,u,FALSE
,,,,,image-keyboard-response,68,342050,0.0-7.0-0.0-0.14,1,,2796,img/testing_events/Ca/Test_Ca_Event_3.jpg,c,response,Ca,c,TRUE
,,,,,image-keyboard-response,69,345391,0.0-7.0-0.0-0.15,1,,3339,img/testing_events/Ca/Test_Ca_Event_5.jpg,n,response,Ca,e,FALSE
,,,,,image-keyboard-response,70,349409,0.0-7.0-0.0-0.16,1,,4015,img/testing_events/Ca/Test_Ca_Event_2.jpg,e,response,Ca,u,FALSE
,,,,,image-keyboard-response,71,355202,0.0-7.0-0.0-0.17,1,,5790,img/testing_events/Ca/Test_Ca_Event_13.jpg,n,response,Ca,e,FALSE
,,,,,image-keyboard-response,72,359435,0.0-7.0-0.0-0.18,1,,4231,img/testing_events/Ca/Test_Ca_Event_4.jpg,u,response,Ca,n,FALSE
,,,,,image-keyboard-response,73,363916,0.0-7.0-0.0-0.19,1,,4479,img/testing_events/Ca/Test_Ca_Event_24.jpg,n,response,Ca,n,TRUE
,,,,,image-keyboard-response,74,367759,0.0-7.0-0.0-0.20,1,,3842,img/testing_events/Ca/Test_Ca_Event_21.jpg,c,response,Ca,e,FALSE
,,,,,image-keyboard-response,75,372447,0.0-7.0-0.0-0.21,1,,4684,img/testing_events/Ca/Test_Ca_Event_14.jpg,e,response,Ca,u,FALSE
,,,,,image-keyboard-response,76,376556,0.0-7.0-0.0-0.22,1,,4106,img/testing_events/Ca/Test_Ca_Event_7.jpg,c,response,Ca,c,TRUE
