success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,14032,0.0-0.0,8,,,,,,,,
TRUE,,,,,fullscreen,1,24587,0.0-1.0,8,,,,,,,,
,,,,,instructions,2,39802,0.0-2.0,8,"[{""page_index"":0,""viewing_time"":15215}]",15215,,,,,,
,,,,,html-keyboard-response,3,48149,0.0-3.0,8,,8346,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,85123,0.0-4.0,8,"[{""page_index"":0,""viewing_time"":10680},{""page_index"":1,""viewing_time"":22413},{""page_index"":2,""viewing_time"":2881}]",35973,,,,,,
,,,,,html-keyboard-response,5,88125,0.0-5.0-0.0,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,94133,0.0-5.0-1.0,8,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,7,94634,0.0-5.0-0.1,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,100635,0.0-5.0-1.1,8,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,9,101137,0.0-5.0-0.2,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,107138,0.0-5.0-1.2,8,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,11,107640,0.0-5.0-0.3,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,113641,0.0-5.0-1.3,8,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,13,114143,0.0-5.0-0.4,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,120145,0.0-5.0-1.4,8,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,15,120646,0.0-5.0-0.5,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,126647,0.0-5.0-1.5,8,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,17,127148,0.0-5.0-0.6,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,133151,0.0-5.0-1.6,8,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,19,133652,0.0-5.0-0.7,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,139653,0.0-5.0-1.7,8,,null,img/encoding_events/Event_17.jpg,null,,,,
,,,,,html-keyboard-response,21,140155,0.0-5.0-0.8,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,146157,0.0-5.0-1.8,8,,null,img/encoding_events/Event_9.jpg,null,,,,
,,,,,html-keyboard-response,23,146657,0.0-5.0-0.9,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,152659,0.0-5.0-1.9,8,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,25,153160,0.0-5.0-0.10,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,159163,0.0-5.0-1.10,8,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,27,159666,0.0-5.0-0.11,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,165667,0.0-5.0-1.11,8,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,29,166168,0.0-5.0-0.12,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,172170,0.0-5.0-1.12,8,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,31,172671,0.0-5.0-0.13,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,178672,0.0-5.0-1.13,8,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,33,179173,0.0-5.0-0.14,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,185175,0.0-5.0-1.14,8,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,35,185676,0.0-5.0-0.15,8,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,191678,0.0-5.0-1.15,8,,null,img/encoding_events/Event_13.jpg,null,,,,
