success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,2513,0.0-0.0,6,,,,,,,,
TRUE,,,,,fullscreen,1,8261,0.0-1.0,6,,,,,,,,
,,,,,instructions,2,10680,0.0-2.0,6,"[{""page_index"":0,""viewing_time"":2417}]",2417,,,,,,
,,,,,html-keyboard-response,3,16611,0.0-3.0,6,,5929,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,29487,0.0-4.0,6,"[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":5921},{""page_index"":2,""viewing_time"":3191}]",11870,,,,,,
,,,,,html-keyboard-response,5,32490,0.0-5.0-0.0,6,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,38514,0.0-5.0-1.0,6,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,7,39017,0.0-5.0-0.1,6,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,45029,0.0-5.0-1.1,6,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,9,45530,0.0-5.0-0.2,6,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,51532,0.0-5.0-1.2,6,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,11,52035,0.0-5.0-0.3,6,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,58055,0.0-5.0-1.3,6,,null,img/encoding_events/Event_17.jpg,null,,,,
,,,,,html-keyboard-response,13,58567,0.0-5.0-0.4,6,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
