success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,3242,0.0-0.0,4,,,,,,,,
TRUE,,,,,fullscreen,1,5835,0.0-1.0,4,,,,,,,,
,,,,,instructions,2,8021,0.0-2.0,4,"[{""page_index"":0,""viewing_time"":2184}]",2184,,,,,,
,,,,,html-keyboard-response,3,15906,0.0-3.0,4,,7883,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,38577,0.0-4.0,4,"[{""page_index"":0,""viewing_time"":10803},{""page_index"":1,""viewing_time"":8385},{""page_index"":2,""viewing_time"":2477}]",21665,,,,,,
,,,,,html-keyboard-response,5,41589,0.0-5.0-0.0,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,47616,0.0-5.0-1.0,4,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,7,48130,0.0-5.0-0.1,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,54135,0.0-5.0-1.1,4,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,9,54650,0.0-5.0-0.2,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,60668,0.0-5.0-1.2,4,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,11,61186,0.0-5.0-0.3,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,67192,0.0-5.0-1.3,4,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,13,67708,0.0-5.0-0.4,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,73715,0.0-5.0-1.4,4,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,15,74219,0.0-5.0-0.5,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,80223,0.0-5.0-1.5,4,,null,img/encoding_events/Event_14.jpg,null,,,,
,,,,,html-keyboard-response,17,80736,0.0-5.0-0.6,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,86753,0.0-5.0-1.6,4,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,19,87260,0.0-5.0-0.7,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,93278,0.0-5.0-1.7,4,,null,img/encoding_events/Event_18.jpg,null,,,,
,,,,,html-keyboard-response,21,93788,0.0-5.0-0.8,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,99791,0.0-5.0-1.8,4,,null,img/encoding_events/Event_21.jpg,null,,,,
,,,,,html-keyboard-response,23,100298,0.0-5.0-0.9,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,106305,0.0-5.0-1.9,4,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,25,106817,0.0-5.0-0.10,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,112821,0.0-5.0-1.10,4,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,27,113328,0.0-5.0-0.11,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,119338,0.0-5.0-1.11,4,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,29,119848,0.0-5.0-0.12,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,125866,0.0-5.0-1.12,4,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,31,126380,0.0-5.0-0.13,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,132387,0.0-5.0-1.13,4,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,33,132898,0.0-5.0-0.14,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,138904,0.0-5.0-1.14,4,,null,img/encoding_events/Event_16.jpg,null,,,,
,,,,,html-keyboard-response,35,139419,0.0-5.0-0.15,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,145423,0.0-5.0-1.15,4,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,37,145941,0.0-5.0-0.16,4,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
