success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,3193,0.0-0.0,12,,,,,,,,
TRUE,,,,,fullscreen,1,24295,0.0-1.0,12,,,,,,,,
,,,,,instructions,2,27448,0.0-2.0,12,"[{""page_index"":0,""viewing_time"":3151}]",3152,,,,,,
,,,,,html-keyboard-response,3,37154,0.0-3.0,12,,9705,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,50693,0.0-4.0,12,"[{""page_index"":0,""viewing_time"":3501},{""page_index"":1,""viewing_time"":6855},{""page_index"":2,""viewing_time"":2180}]",12537,,,,,,
,,,,,html-keyboard-response,5,53701,0.0-5.0-0.0,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,59718,0.0-5.0-1.0,12,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,7,60225,0.0-5.0-0.1,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,66229,0.0-5.0-1.1,12,,null,img/encoding_events/Event_13.jpg,null,,,,
,,,,,html-keyboard-response,9,66735,0.0-5.0-0.2,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,72740,0.0-5.0-1.2,12,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,11,73246,0.0-5.0-0.3,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,79250,0.0-5.0-1.3,12,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,13,79759,0.0-5.0-0.4,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,85763,0.0-5.0-1.4,12,,null,img/encoding_events/Event_7.jpg,null,,,,
,,,,,html-keyboard-response,15,86271,0.0-5.0-0.5,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,92279,0.0-5.0-1.5,12,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,17,92786,0.0-5.0-0.6,12,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
