success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,5876,0.0-0.0,3,,,,,,,,
TRUE,,,,,fullscreen,1,8936,0.0-1.0,3,,,,,,,,
,,,,,instructions,2,13347,0.0-2.0,3,"[{""page_index"":0,""viewing_time"":4409}]",4410,,,,,,
,,,,,html-keyboard-response,3,18611,0.0-3.0,3,,5262,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,32199,0.0-4.0,3,"[{""page_index"":0,""viewing_time"":3844},{""page_index"":1,""viewing_time"":6582},{""page_index"":2,""viewing_time"":2158}]",12584,,,,,,
,,,,,html-keyboard-response,5,35204,0.0-5.0-0.0,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,41221,0.0-5.0-1.0,3,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,7,41727,0.0-5.0-0.1,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,47732,0.0-5.0-1.1,3,,null,img/encoding_events/Event_17.jpg,null,,,,
,,,,,html-keyboard-response,9,48237,0.0-5.0-0.2,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,54244,0.0-5.0-1.2,3,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,11,54747,0.0-5.0-0.3,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,60754,0.0-5.0-1.3,3,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,13,61258,0.0-5.0-0.4,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,67260,0.0-5.0-1.4,3,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,15,67761,0.0-5.0-0.5,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,73768,0.0-5.0-1.5,3,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,17,74274,0.0-5.0-0.6,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,80276,0.0-5.0-1.6,3,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,19,80781,0.0-5.0-0.7,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,86787,0.0-5.0-1.7,3,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,21,87289,0.0-5.0-0.8,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,93295,0.0-5.0-1.8,3,,null,img/encoding_events/Event_21.jpg,null,,,,
,,,,,html-keyboard-response,23,93800,0.0-5.0-0.9,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,99813,0.0-5.0-1.9,3,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,25,100319,0.0-5.0-0.10,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,106322,0.0-5.0-1.10,3,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,27,106824,0.0-5.0-0.11,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,112829,0.0-5.0-1.11,3,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,29,113332,0.0-5.0-0.12,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,119335,0.0-5.0-1.12,3,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,31,119836,0.0-5.0-0.13,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,125841,0.0-5.0-1.13,3,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,33,126345,0.0-5.0-0.14,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,132350,0.0-5.0-1.14,3,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,35,132853,0.0-5.0-0.15,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,138859,0.0-5.0-1.15,3,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,37,139364,0.0-5.0-0.16,3,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
