success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,2694,0.0-0.0,2,,,,,,,,
TRUE,,,,,fullscreen,1,76045,0.0-1.0,2,,,,,,,,
,,,,,instructions,2,78041,0.0-2.0,2,"[{""page_index"":0,""viewing_time"":1994}]",1994,,,,,,
,,,,,html-keyboard-response,3,81529,0.0-3.0,2,,3488,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,93364,0.0-4.0,2,"[{""page_index"":0,""viewing_time"":6171},{""page_index"":1,""viewing_time"":3435},{""page_index"":2,""viewing_time"":1228}]",10834,,,,,,
,,,,,html-keyboard-response,5,96373,0.0-5.0-0.0,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,102392,0.0-5.0-1.0,2,,null,img/encoding_events/Event_14.jpg,null,,,,
,,,,,html-keyboard-response,7,102893,0.0-5.0-0.1,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,108895,0.0-5.0-1.1,2,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,9,109397,0.0-5.0-0.2,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,115399,0.0-5.0-1.2,2,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,11,115899,0.0-5.0-0.3,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,121900,0.0-5.0-1.3,2,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,13,122402,0.0-5.0-0.4,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,128404,0.0-5.0-1.4,2,,null,img/encoding_events/Event_16.jpg,null,,,,
,,,,,html-keyboard-response,15,128905,0.0-5.0-0.5,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,134917,0.0-5.0-1.5,2,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,17,135418,0.0-5.0-0.6,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,141429,0.0-5.0-1.6,2,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,19,141945,0.0-5.0-0.7,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,147956,0.0-5.0-1.7,2,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,21,148472,0.0-5.0-0.8,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,154483,0.0-5.0-1.8,2,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,23,154985,0.0-5.0-0.9,2,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
