success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,1671,0.0-0.0,11,,,,,,,,
TRUE,,,,,fullscreen,1,251548,0.0-1.0,11,,,,,,,,
,,,,,instructions,2,255471,0.0-2.0,11,"[{""page_index"":0,""viewing_time"":3920}]",3921,,,,,,
,,,,,html-keyboard-response,3,262211,0.0-3.0,11,,6739,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,277639,0.0-4.0,11,"[{""page_index"":0,""viewing_time"":2763},{""page_index"":1,""viewing_time"":8887},{""page_index"":2,""viewing_time"":2771}]",14421,,,,,,
,,,,,html-keyboard-response,5,280648,0.0-5.0-0.0,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,286678,0.0-5.0-1.0,11,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,7,287184,0.0-5.0-0.1,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,293189,0.0-5.0-1.1,11,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,9,293696,0.0-5.0-0.2,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,299709,0.0-5.0-1.2,11,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,11,300218,0.0-5.0-0.3,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,306230,0.0-5.0-1.3,11,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,13,306737,0.0-5.0-0.4,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,312742,0.0-5.0-1.4,11,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,15,313254,0.0-5.0-0.5,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,319265,0.0-5.0-1.5,11,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,17,319780,0.0-5.0-0.6,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,325798,0.0-5.0-1.6,11,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,19,326308,0.0-5.0-0.7,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,332316,0.0-5.0-1.7,11,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,21,332822,0.0-5.0-0.8,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,338839,0.0-5.0-1.8,11,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,23,339354,0.0-5.0-0.9,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,345369,0.0-5.0-1.9,11,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,25,345880,0.0-5.0-0.10,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,351888,0.0-5.0-1.10,11,,null,img/encoding_events/Event_7.jpg,null,,,,
,,,,,html-keyboard-response,27,352396,0.0-5.0-0.11,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,358411,0.0-5.0-1.11,11,,null,img/encoding_events/Event_21.jpg,null,,,,
,,,,,html-keyboard-response,29,358921,0.0-5.0-0.12,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,364930,0.0-5.0-1.12,11,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,31,365438,0.0-5.0-0.13,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,371443,0.0-5.0-1.13,11,,null,img/encoding_events/Event_13.jpg,null,,,,
,,,,,html-keyboard-response,33,371955,0.0-5.0-0.14,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,377963,0.0-5.0-1.14,11,,null,img/encoding_events/Event_16.jpg,null,,,,
,,,,,html-keyboard-response,35,378478,0.0-5.0-0.15,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,384482,0.0-5.0-1.15,11,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,37,384996,0.0-5.0-0.16,11,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
